id,subject,term,meaning_ja,example_en,example_ja,source,status,used_at
243,CLAUSE,covenant and agree,誓約し合意する,The borrower covenants and agrees to maintain insurance.,借主は保険の維持を誓約し合意する。,,verified,
244,CLAUSE,indemnify and hold harmless,補償し免責する,The supplier shall indemnify and hold harmless the buyer.,供給者は買主を補償し免責する。,,verified,
245,CLAUSE,successors and assigns,承継人及び譲受人,The agreement binds successors and assigns.,本契約は承継人及び譲受人を拘束する。,,verified,
246,CLAUSE,free and clear,(負担のない)完全な,The shares are transferred free and clear of liens.,株式は担保権の負担なく譲渡される。,,verified,
247,CLAUSE,right title and interest,権利・権原及び利益,The seller conveys all right title and interest.,売主はすべての権利・権原及び利益を譲渡する。,,verified,
248,CLAUSE,sole and exclusive,唯一かつ排他的な,Arbitration is the sole and exclusive forum.,仲裁が唯一かつ排他的な紛争解決手段である。,,verified,
249,CLAUSE,final and binding,最終的かつ拘束力のある,The award is final and binding on the parties.,仲裁判断は当事者に対して最終的かつ拘束力を有する。,,verified,
250,CLAUSE,due and payable,支払期限が到来した,The fees become due and payable upon invoice.,報酬は請求書の発行により支払期限が到来する。,,verified,
251,CLAUSE,defined terms,定義語,Defined terms have the meanings in Section 1.,定義語は第1条の意味を有する。,,verified,
252,CLAUSE,definitions,定義,The definitions section precedes the operative terms.,定義条項は実体条項に先行する。,,verified,
253,CLAUSE,recitals,前文(経緯),The recitals describe the background of the deal.,前文は取引の背景を記述する。,,verified,
254,CLAUSE,preamble,頭書,The preamble identifies the parties and the date.,頭書は当事者と日付を特定する。,,verified,
255,CLAUSE,schedule,別紙(スケジュール),Prices are listed in Schedule 1.,価格は別紙1に記載される。,,verified,
256,CLAUSE,exhibit,別添(エキシビット),The form of notice is attached as Exhibit A.,通知の様式は別添Aとして添付される。,,verified,
257,CLAUSE,appendix,付属書,Technical details appear in the appendix.,技術的詳細は付属書に記載される。,,verified,
258,CLAUSE,annex,附属書,The annex forms part of this agreement.,附属書は本契約の一部を構成する。,,verified,
259,CLAUSE,addendum,追補,The addendum modifies the delivery schedule.,追補は納入スケジュールを修正する。,,verified,
260,CLAUSE,boilerplate,定型条項(ボイラープレート),Boilerplate clauses appear at the end of the contract.,定型条項は契約書の末尾に置かれる。,,verified,
261,CLAUSE,signature block,署名欄,Each party signs in its signature block.,各当事者は自らの署名欄に署名する。,,verified,
262,CLAUSE,attestation,立会認証,The attestation confirms the signing was witnessed.,立会認証は署名に立会いがあったことを確認する。,,verified,
263,CLAUSE,notary public,公証人,The deed was signed before a notary public.,その証書は公証人の面前で署名された。,,verified,
264,CLAUSE,notarization,公証,Notarization is required for the power of attorney.,委任状には公証が必要である。,,verified,
265,CLAUSE,corporate seal,社印(法人印),The corporate seal was affixed to the document.,文書に社印が押印された。,,verified,
266,CLAUSE,irrevocable,撤回不能な,The buyer issued an irrevocable letter of credit.,買主は撤回不能な信用状を発行させた。,,verified,
267,CLAUSE,revocable,撤回可能な,A revocable license may be withdrawn at any time.,撤回可能なライセンスはいつでも取り消せる。,,verified,
268,CLAUSE,perpetual,永続的な,The client receives a perpetual license.,クライアントは永続的ライセンスを取得する。,,verified,
269,CLAUSE,non-exclusive,非独占的な,The license is non-exclusive and worldwide.,そのライセンスは非独占的かつ全世界的である。,,verified,
270,CLAUSE,exclusive,独占的な,The distributor has exclusive rights in Asia.,販売店はアジアにおける独占的権利を有する。,,verified,
271,CLAUSE,worldwide,全世界的な,The grant is worldwide in scope.,その許諾の範囲は全世界に及ぶ。,,verified,
272,CLAUSE,royalty-free,使用料無償の,The software includes a royalty-free license.,そのソフトウェアには使用料無償のライセンスが含まれる。,,verified,
273,CLAUSE,non-transferable,譲渡不能な,The membership is personal and non-transferable.,その会員資格は一身専属で譲渡不能である。,,verified,
274,CLAUSE,without prejudice,権利を害することなく,The offer was made without prejudice.,その提案は権利を害することなく行われた。,,verified,
275,CLAUSE,with prejudice,再訴を禁じて,The case was dismissed with prejudice.,その事件は再訴を禁じて却下された。,,verified,
276,CLAUSE,reservation of rights,権利の留保,The letter included a reservation of rights.,その書簡には権利の留保が含まれていた。,,verified,
277,CLAUSE,no waiver,権利不放棄,The no waiver clause preserves future enforcement.,権利不放棄条項は将来の権利行使を保全する。,,verified,
278,CLAUSE,cumulative remedies,累積的救済,The cumulative remedies clause permits multiple remedies.,累積的救済条項は複数の救済の行使を認める。,,verified,
279,CLAUSE,merger clause,完全合意条項,The merger clause supersedes prior negotiations.,完全合意条項は従前の交渉に優先する。,,verified,
280,CLAUSE,integration clause,統合条項,The integration clause excludes side agreements.,統合条項は付随的合意を排除する。,,verified,
281,CLAUSE,savings clause,存続(留保)条項,The savings clause preserves accrued rights.,存続条項は既発生の権利を保全する。,,verified,
282,CLAUSE,escalation clause,エスカレーション条項(段階的協議条項),The escalation clause requires executive negotiation first.,エスカレーション条項はまず経営陣の協議を求める。,,verified,
283,CLAUSE,sunset clause,サンセット条項(失効条項),The sunset clause ends the obligation after five years.,サンセット条項により義務は5年後に失効する。,,verified,
284,CLAUSE,headings,見出し,Headings are for convenience only.,見出しは便宜のためのものにすぎない。,,verified,
285,CLAUSE,construction,(契約の)解釈,Rules of construction apply to ambiguous terms.,解釈準則は曖昧な条項に適用される。,,verified,
286,CLAUSE,interpretation,解釈,The interpretation clause defines singular and plural.,解釈条項は単数・複数の扱いを定める。,,verified,
287,CLAUSE,ambiguity,曖昧さ(多義性),The court resolved the ambiguity against the drafter.,裁判所は曖昧さを作成者に不利に解釈した。,,verified,
288,CLAUSE,contra proferentem,作成者不利の原則,Contra proferentem construes ambiguity against the drafter.,作成者不利の原則は曖昧さを起草者に不利に解する。,,verified,
289,CLAUSE,governing language,正文(準拠言語),The English text is the governing language.,英語版を正文とする。,,verified,
290,CLAUSE,prevailing party,勝訴当事者,The prevailing party recovers its attorneys' fees.,勝訴当事者は弁護士費用を回収できる。,,verified,
291,CLAUSE,attorneys' fees,弁護士費用,Each party bears its own attorneys' fees.,各当事者は自己の弁護士費用を負担する。,,verified,
292,CLAUSE,court costs,訴訟費用,Court costs were awarded to the plaintiff.,訴訟費用は原告に認められた。,,verified,
293,CLAUSE,remedies at law,コモン・ロー上の救済,Remedies at law would be inadequate here.,この場合コモン・ロー上の救済では不十分である。,,verified,
294,CLAUSE,adequate remedy,十分な救済,Damages are not an adequate remedy for disclosure.,開示に対して損害賠償は十分な救済でない。,,verified,
295,CLAUSE,anniversary date,応当日(起算応当日),Fees increase on each anniversary date.,料金は毎年の応当日に増額される。,,verified,
296,CLAUSE,wind-down,段階的終了(ワインドダウン),The wind-down period lasts six months.,段階的終了期間は6か月である。,,verified,
297,CLAUSE,transition services,移行支援サービス,The seller provides transition services after closing.,売主はクロージング後に移行支援サービスを提供する。,,verified,
298,CLAUSE,further assurances,追加保証(必要書類の追完),The further assurances clause requires additional documents.,追加保証条項は追加書類の作成を義務づける。,,verified,
299,CLAUSE,mutual agreement,相互の合意,The term may be extended by mutual agreement.,期間は相互の合意により延長できる。,,verified,
300,CLAUSE,unilateral,一方的な,A unilateral change of terms is prohibited.,条件の一方的な変更は禁止される。,,verified,
301,CLAUSE,bilateral,双方的な,The obligations are bilateral in nature.,その義務は双方的な性質を有する。,,verified,
302,CLAUSE,severally,個別に(分別して),The guarantors are liable severally.,保証人らは分別して責任を負う。,,verified,
303,CLAUSE,jointly,共同して,The partners are jointly liable for the debt.,パートナーらはその債務について共同して責任を負う。,,verified,
304,CLAUSE,in lieu of,~の代わりに,Payment was made in lieu of notice.,通知の代わりに支払が行われた。,,verified,
305,CLAUSE,on behalf of,~を代理して,The officer signed on behalf of the corporation.,その役員は会社を代理して署名した。,,verified,
306,CLAUSE,with respect to,~に関して,No claim exists with respect to the assets.,その資産に関して請求は存在しない。,,verified,
307,CLAUSE,in connection with,~に関連して,Costs incurred in connection with the closing are shared.,クロージングに関連して生じた費用は分担される。,,verified,
308,CLAUSE,arising out of,~から生じる,Claims arising out of this agreement go to arbitration.,本契約から生じる請求は仲裁に付される。,,verified,
309,CLAUSE,in the event of,~の場合には,In the event of default the loan accelerates.,債務不履行の場合には期限の利益を喪失する。,,verified,
310,CLAUSE,upon the occurrence of,~の発生時に,Upon the occurrence of a trigger event notice is required.,トリガー事由の発生時には通知が必要である。,,verified,
311,CLAUSE,for the avoidance of doubt,疑義を避けるために付言すると,For the avoidance of doubt taxes are excluded.,疑義を避けるため付言すると税金は含まれない。,,verified,
312,CLAUSE,as the case may be,場合に応じて,The buyer or the seller as the case may be shall pay.,場合に応じて買主又は売主が支払う。,,verified,
313,CLAUSE,as applicable,該当する場合,Local rules apply as applicable.,該当する場合には現地規則が適用される。,,verified,
314,CLAUSE,if any,もしあれば,Accrued interest if any shall be paid at closing.,未払利息があればクロージング時に支払われる。,,verified,
315,CLAUSE,as of,~現在で(~の時点で),The statement is true as of the closing date.,その表明はクロージング日現在で真実である。,,verified,
316,CLAUSE,effective as of,~付で発効する,The amendment is effective as of April 1.,その変更は4月1日付で発効する。,,verified,
317,CLAUSE,retroactive effect,遡及効,The amendment has no retroactive effect.,その改正には遡及効がない。,,verified,
318,CLAUSE,prospective effect,将来効,The rule change has prospective effect only.,その規則変更は将来効のみを有する。,,verified,
319,CLAUSE,without cause,事由なく,The employer terminated the contract without cause.,使用者は事由なく契約を解除した。,,verified,
320,CLAUSE,with cause,正当事由により,Dismissal with cause requires documentation.,正当事由による解雇には文書化が必要である。,,verified,
321,CLAUSE,at law or in equity,コモン・ロー上又は衡平法上,All remedies at law or in equity are preserved.,コモン・ロー上又は衡平法上のすべての救済は留保される。,,verified,
322,CLAUSE,express,明示の,The contract contains an express warranty.,契約には明示の保証が含まれる。,,verified,
323,CLAUSE,implied,黙示の,An implied term filled the gap.,黙示の条項が欠缺を補った。,,verified,
324,CLAUSE,tacit,暗黙の,Tacit approval was inferred from silence.,沈黙から暗黙の承認が推認された。,,verified,
325,CLAUSE,verbal agreement,口頭の合意,A verbal agreement is hard to prove.,口頭の合意は立証が困難である。,,verified,
326,CLAUSE,written agreement,書面による合意,Modifications require a written agreement.,変更には書面による合意が必要である。,,verified,
327,CLAUSE,partial invalidity,一部無効,Partial invalidity does not affect the remainder.,一部無効はその余の部分に影響しない。,,verified,
328,CLAUSE,remainder of the agreement,契約のその余の部分,The remainder of the agreement stays effective.,契約のその余の部分は有効に存続する。,,verified,
329,CLAUSE,counterpart execution,副本による締結,Counterpart execution allows signing in separate copies.,副本による締結は別々の写しでの署名を認める。,,verified,
330,CLAUSE,facsimile signature,ファクシミリ署名,A facsimile signature is treated as an original.,ファクシミリ署名は原本として扱われる。,,verified,
331,CLAUSE,original copy,原本,Each party keeps one original copy.,各当事者は原本を1通保管する。,,verified,
332,CLAUSE,certified copy,認証謄本,A certified copy of the resolution was delivered.,決議の認証謄本が交付された。,,verified,
333,CLAUSE,true and correct,真実かつ正確な,The statements are true and correct in all respects.,その記載はすべての点で真実かつ正確である。,,verified,
334,CLAUSE,to the satisfaction of,~の満足する形で,The work was completed to the satisfaction of the client.,作業はクライアントの満足する形で完了した。,,verified,
335,CLAUSE,in a timely manner,適時に,Reports shall be submitted in a timely manner.,報告書は適時に提出されなければならない。,,verified,
336,CLAUSE,without undue delay,不当な遅滞なく,Defects shall be notified without undue delay.,瑕疵は不当な遅滞なく通知されなければならない。,,verified,
337,CLAUSE,promptly,速やかに,The licensee shall promptly report any infringement.,ライセンシーは侵害を速やかに報告する。,,verified,
338,CLAUSE,forthwith,直ちに,The deposit shall be returned forthwith.,預託金は直ちに返還される。,,verified,
339,CLAUSE,mutually acceptable,相互に受け入れ可能な,The parties shall find a mutually acceptable solution.,当事者らは相互に受け入れ可能な解決策を見出す。,,verified,
340,CLAUSE,good standing,(法人の)適法な存続,The company is in good standing in Delaware.,当社はデラウェア州で適法に存続している。,,verified,
341,CLAUSE,organized and existing,適法に設立され存続する,The Seller is organized and existing under Japanese law.,売主は日本法に基づき適法に設立され存続している。,,verified,
342,CLAUSE,laws of the state of,~州法,This agreement is governed by the laws of the State of California.,本契約はカリフォルニア州法に準拠する。,,verified,
343,CLAUSE,exclusive jurisdiction,専属的裁判管轄,The Tokyo District Court has exclusive jurisdiction.,東京地方裁判所が専属的裁判管轄を有する。,,verified,
344,CLAUSE,non-exclusive jurisdiction,非専属的裁判管轄,The parties submit to the non-exclusive jurisdiction of London courts.,当事者らはロンドンの裁判所の非専属的管轄に服する。,,verified,
345,CLAUSE,submit to jurisdiction,裁判管轄に服する,Each party submits to the jurisdiction of the chosen court.,各当事者は選択された裁判所の管轄に服する。,,verified,
346,CLAUSE,waive a jury trial,陪審裁判を放棄する,The parties waive a jury trial for all disputes.,当事者らはすべての紛争について陪審裁判を放棄する。,,verified,
347,CLAUSE,service of notice,通知の送達,Service of notice is effective upon receipt.,通知の送達は受領時に効力を生じる。,,verified,
348,CLAUSE,registered mail,書留郵便,Notices shall be sent by registered mail.,通知は書留郵便で送付される。,,verified,
349,CLAUSE,return receipt requested,配達証明付きで,The letter was mailed return receipt requested.,その書簡は配達証明付きで郵送された。,,verified,
350,CLAUSE,overnight courier,翌日配達便,Delivery by overnight courier is permitted.,翌日配達便による送付が認められる。,,verified,
351,CLAUSE,deemed received,受領されたものとみなす,Email notice is deemed received the next business day.,電子メール通知は翌営業日に受領されたものとみなす。,,verified,
352,CLAUSE,change of address,住所変更,Each party shall notify any change of address.,各当事者は住所変更を通知する。,,verified,
353,CLAUSE,assignment prohibited,譲渡禁止,Assignment is prohibited without written consent.,書面の同意のない譲渡は禁止される。,,verified,
354,CLAUSE,consent not to be unreasonably withheld,同意は不合理に留保されない,Consent shall not be unreasonably withheld.,同意は不合理に留保されないものとする。,,verified,
355,CLAUSE,material term,重要条項,Price is a material term of the contract.,価格は契約の重要条項である。,,verified,
356,CLAUSE,essential term,本質的条項,The essential terms were agreed in the LOI.,本質的条項は基本合意書で合意された。,,verified,
357,CLAUSE,severable,分離可能な,Each provision is severable from the others.,各条項は他の条項から分離可能である。,,verified,
358,CLAUSE,enforceability,執行可能性,The opinion addresses the enforceability of the agreement.,その意見書は契約の執行可能性を扱う。,,verified,
359,CLAUSE,validity,有効性,The validity of the clause was challenged.,その条項の有効性が争われた。,,verified,
360,CLAUSE,legally binding,法的拘束力のある,The MOU is not legally binding.,その覚書には法的拘束力がない。,,verified,
361,CLAUSE,non-binding,法的拘束力のない,The parties exchanged a non-binding proposal.,当事者らは拘束力のない提案を交換した。,,verified,
362,CLAUSE,moral obligation,道義的義務,A moral obligation is not legally enforceable.,道義的義務は法的に強制できない。,,verified,
363,CLAUSE,condition of closing,クロージングの条件,Regulatory approval is a condition of closing.,当局の承認はクロージングの条件である。,,verified,
364,CLAUSE,closing certificate,クロージング証明書,The officer delivered a closing certificate.,役員はクロージング証明書を交付した。,,verified,
365,CLAUSE,long-stop date,最終期限日(ロングストップ・デート),The deal terminates on the long-stop date.,取引は最終期限日に終了する。,,verified,
366,CLAUSE,outside date,取引最終期限日,Either party may walk away after the outside date.,取引最終期限日以降はいずれの当事者も離脱できる。,,verified,
367,CLAUSE,standstill,現状維持(スタンドスティル),The standstill prevents further share purchases.,スタンドスティルは追加の株式取得を禁止する。,,verified,
368,CLAUSE,lock-up,ロックアップ(売却制限),The lock-up restricts sales for 180 days.,ロックアップは180日間の売却を制限する。,,verified,
369,CLAUSE,exclusivity period,独占交渉期間,The exclusivity period runs for sixty days.,独占交渉期間は60日間である。,,verified,
370,CLAUSE,no-shop clause,他者交渉禁止条項,The no-shop clause bars talks with other bidders.,他者交渉禁止条項は他の買い手との協議を禁じる。,,verified,
371,CLAUSE,break-up fee,違約金(ブレークアップ・フィー),A break-up fee is payable if the deal fails.,取引不成立の場合はブレークアップ・フィーが支払われる。,,verified,
372,CLAUSE,reverse break-up fee,逆違約金,The buyer owes a reverse break-up fee if financing fails.,資金調達に失敗すれば買主が逆違約金を負う。,,verified,
373,CLAUSE,earn-out,アーンアウト(業績連動対価),The earn-out depends on future revenue.,アーンアウトは将来の収益に連動する。,,verified,
374,CLAUSE,holdback,支払留保,A 10 percent holdback secures indemnity claims.,10パーセントの支払留保が補償請求を担保する。,,verified,
375,CLAUSE,true-up,精算調整,A true-up occurs after the final accounts.,最終計算の後に精算調整が行われる。,,verified,
376,CLAUSE,clawback,クローバック(返還請求),The clawback recovers overpaid bonuses.,クローバックは過払い賞与を取り戻す。,,verified,
377,CLAUSE,gross-up,グロスアップ(税負担調整),The gross-up covers withholding taxes.,グロスアップは源泉税の負担を調整する。,,verified,
378,CLAUSE,pass-through,転嫁(パススルー),Cost increases are a pass-through to the customer.,費用増は顧客に転嫁される。,,verified,
379,CLAUSE,most favored nation clause,最恵待遇条項,The most favored nation clause guarantees the best price.,最恵待遇条項は最良の価格を保証する。,,verified,
380,CLAUSE,non-circumvention,迂回禁止,The non-circumvention clause protects the intermediary.,迂回禁止条項は仲介者を保護する。,,verified,
381,CORP,corporation,株式会社(法人),The corporation was formed in Delaware.,その会社はデラウェア州で設立された。,,verified,
382,CORP,incorporation,法人設立,Incorporation limits the owners' liability.,法人設立により所有者の責任は限定される。,,verified,
383,CORP,articles of incorporation,基本定款,The articles of incorporation state the corporate purpose.,基本定款は会社の目的を記載する。,,verified,
384,CORP,bylaws,付属定款,The bylaws govern board procedures.,付属定款は取締役会の手続を定める。,,verified,
385,CORP,board of directors,取締役会,The board of directors approved the merger.,取締役会は合併を承認した。,,verified,
386,CORP,director,取締役,Each director owes fiduciary duties.,各取締役は信認義務を負う。,,verified,
387,CORP,officer,執行役員(役員),The officers manage daily operations.,役員は日常業務を執行する。,,verified,
388,CORP,chief executive officer,最高経営責任者(CEO),The chief executive officer reports to the board.,CEOは取締役会に報告する。,,verified,
389,CORP,shareholder,株主,Shareholders vote at the annual meeting.,株主は年次総会で議決権を行使する。,,verified,
390,CORP,share,株式,Each share carries one vote.,各株式は1個の議決権を有する。,,verified,
391,CORP,common stock,普通株式,The company issued additional common stock.,当社は普通株式を追加発行した。,,verified,
392,CORP,preferred stock,優先株式,Preferred stock has priority for dividends.,優先株式は配当について優先する。,,verified,
393,CORP,dividend,配当,The board declared a quarterly dividend.,取締役会は四半期配当を宣言した。,,verified,
394,CORP,annual meeting,年次株主総会,Directors are elected at the annual meeting.,取締役は年次株主総会で選任される。,,verified,
395,CORP,special meeting,臨時株主総会,A special meeting was called to approve the sale.,売却承認のため臨時株主総会が招集された。,,verified,
396,CORP,quorum,定足数,A quorum was present at the meeting.,その会議には定足数が出席していた。,,verified,
397,CORP,resolution,決議,The resolution passed by majority vote.,その決議は過半数の賛成で可決された。,,verified,
398,CORP,minutes,議事録,The secretary prepared the minutes.,秘書役が議事録を作成した。,,verified,
399,CORP,proxy,委任状(議決権代理行使),Shareholders may vote by proxy.,株主は委任状により議決権を行使できる。,,verified,
400,CORP,voting rights,議決権,Preferred shares may lack voting rights.,優先株式には議決権がない場合がある。,,verified,
401,CORP,cumulative voting,累積投票,Cumulative voting protects minority shareholders.,累積投票は少数株主を保護する。,,verified,
402,CORP,fiduciary duty,信認義務,Directors owe fiduciary duties to the corporation.,取締役は会社に対して信認義務を負う。,,verified,
403,CORP,duty of care,注意義務,The duty of care requires informed decisions.,注意義務は十分な情報に基づく判断を求める。,,verified,
404,CORP,duty of loyalty,忠実義務,The duty of loyalty prohibits self-dealing.,忠実義務は自己取引を禁止する。,,verified,
405,CORP,business judgment rule,経営判断の原則,The business judgment rule protects honest decisions.,経営判断の原則は誠実な判断を保護する。,,verified,
406,CORP,derivative suit,株主代表訴訟,A shareholder filed a derivative suit against the directors.,株主が取締役に対して代表訴訟を提起した。,,verified,
407,CORP,piercing the corporate veil,法人格否認,The court pierced the corporate veil to reach the owner.,裁判所は法人格を否認して所有者の責任を認めた。,,verified,
408,CORP,limited liability,有限責任,Shareholders enjoy limited liability.,株主は有限責任の利益を享受する。,,verified,
409,CORP,legal entity,法人(法的主体),A corporation is a separate legal entity.,会社は独立した法人である。,,verified,
410,CORP,registered agent,登録代理人,The registered agent receives service of process.,登録代理人は訴状の送達を受領する。,,verified,
411,CORP,registered office,登録事務所,The registered office is in Wilmington.,登録事務所はウィルミントンにある。,,verified,
412,CORP,certificate of incorporation,設立証明書,The certificate of incorporation was filed with the state.,設立証明書は州に提出された。,,verified,
413,CORP,good standing certificate,適法存続証明書,The bank requested a good standing certificate.,銀行は適法存続証明書の提出を求めた。,,verified,
414,CORP,merger,合併,The merger was approved by both boards.,合併は両社の取締役会で承認された。,,verified,
415,CORP,acquisition,買収,The acquisition closed after regulatory review.,買収は当局審査の後に完了した。,,verified,
416,CORP,consolidation,新設合併(統合),The consolidation created a new entity.,新設合併により新会社が誕生した。,,verified,
417,CORP,takeover,企業買収,The takeover bid was announced on Monday.,買収提案は月曜日に公表された。,,verified,
418,CORP,hostile takeover,敵対的買収,The board resisted the hostile takeover.,取締役会は敵対的買収に抵抗した。,,verified,
419,CORP,tender offer,公開買付け(TOB),The tender offer targeted all outstanding shares.,公開買付けは全流通株式を対象とした。,,verified,
420,CORP,poison pill,ポイズン・ピル(買収防衛策),The poison pill dilutes the acquirer's stake.,ポイズン・ピルは買収者の持分を希薄化する。,,verified,
421,CORP,share purchase agreement,株式譲渡契約,The share purchase agreement was signed in May.,株式譲渡契約は5月に締結された。,,verified,
422,CORP,asset purchase agreement,資産譲渡契約,The asset purchase agreement excludes certain liabilities.,資産譲渡契約は一定の債務を除外する。,,verified,
423,CORP,stock split,株式分割,The stock split doubled the share count.,株式分割により株式数は倍増した。,,verified,
424,CORP,share buyback,自社株買い,The share buyback returned cash to shareholders.,自社株買いにより株主へ資金が還元された。,,verified,
425,CORP,treasury shares,自己株式,Treasury shares carry no voting rights.,自己株式には議決権がない。,,verified,
426,CORP,authorized shares,授権株式数,The charter authorizes ten million shares.,定款は1000万株を授権している。,,verified,
427,CORP,issued shares,発行済株式,Issued shares include treasury shares.,発行済株式には自己株式が含まれる。,,verified,
428,CORP,outstanding shares,社外流通株式,Outstanding shares exclude treasury shares.,社外流通株式は自己株式を除く。,,verified,
429,CORP,par value,額面価額,The shares have no par value.,その株式は無額面である。,,verified,
430,CORP,capital increase,増資,The capital increase funded the expansion.,増資により事業拡大の資金が調達された。,,verified,
431,CORP,capital reduction,減資,The capital reduction offset accumulated losses.,減資により累積損失が填補された。,,verified,
432,CORP,dissolution,解散,The shareholders approved the dissolution.,株主は解散を承認した。,,verified,
433,CORP,liquidation,清算,Assets were sold in the liquidation.,清算において資産が売却された。,,verified,
434,CORP,winding up,清算手続,The winding up took two years.,清算手続には2年を要した。,,verified,
435,CORP,insolvency,支払不能(倒産),The company filed for insolvency protection.,当社は倒産手続の保護を申請した。,,verified,
436,CORP,bankruptcy,破産,The subsidiary entered bankruptcy last year.,その子会社は昨年破産手続に入った。,,verified,
437,CORP,receivership,財産管理(レシーバーシップ),The lender placed the company into receivership.,貸主は会社を財産管理手続に付した。,,verified,
438,CORP,trustee,管財人(受託者),The trustee took control of the assets.,管財人が資産の管理を引き継いだ。,,verified,
439,CORP,creditor,債権者,Creditors voted on the restructuring plan.,債権者らは再建計画について議決した。,,verified,
440,CORP,debtor,債務者,The debtor proposed a repayment schedule.,債務者は返済計画を提案した。,,verified,
441,CORP,reorganization,再建(更生),The reorganization preserved the business.,再建手続により事業は維持された。,,verified,
442,CORP,restructuring,事業再編(リストラクチャリング),The restructuring reduced the workforce.,事業再編により人員が削減された。,,verified,
443,CORP,going concern,継続企業,The auditor questioned the going concern status.,監査人は継続企業としての存続に疑義を示した。,,verified,
444,CORP,corporate governance,コーポレート・ガバナンス,Corporate governance reforms strengthened the board.,ガバナンス改革により取締役会が強化された。,,verified,
445,CORP,compliance,コンプライアンス(法令遵守),The compliance department monitors regulations.,コンプライアンス部門は規制を監視する。,,verified,
446,CORP,internal control,内部統制,Internal control failures led to the fraud.,内部統制の不備が不正につながった。,,verified,
447,CORP,audit committee,監査委員会,The audit committee met with the external auditor.,監査委員会は外部監査人と協議した。,,verified,
448,CORP,whistleblower,内部通報者,The whistleblower reported the accounting fraud.,内部通報者が会計不正を通報した。,,verified,
449,CORP,insider trading,インサイダー取引,The executive was charged with insider trading.,その役員はインサイダー取引で訴追された。,,verified,
450,CORP,disclosure,開示,Timely disclosure is required for material events.,重要事象には適時開示が求められる。,,verified,
451,CORP,prospectus,目論見書,The prospectus describes the offering.,目論見書は募集の内容を記載する。,,verified,
452,CORP,securities,有価証券,The securities were sold to institutional investors.,その有価証券は機関投資家に販売された。,,verified,
453,CORP,initial public offering,新規株式公開(IPO),The initial public offering raised 200 million dollars.,IPOにより2億ドルが調達された。,,verified,
454,CORP,listing,上場,The listing on the exchange was approved.,取引所への上場が承認された。,,verified,
455,CORP,delisting,上場廃止,The delisting followed the going-private deal.,非公開化取引の後に上場廃止となった。,,verified,
456,CORP,underwriter,引受人,The underwriter purchased the entire issue.,引受人は発行分全部を買い取った。,,verified,
457,CORP,subsidiary,子会社,The subsidiary operates in Singapore.,その子会社はシンガポールで事業を行う。,,verified,
458,CORP,parent company,親会社,The parent company guaranteed the loan.,親会社がその借入を保証した。,,verified,
459,CORP,holding company,持株会社,The holding company owns three operating units.,持株会社は3つの事業会社を保有する。,,verified,
460,CORP,general partnership,ゼネラル・パートナーシップ(合名組合),Partners in a general partnership face unlimited liability.,ゼネラル・パートナーシップのパートナーは無限責任を負う。,,verified,
461,CORP,limited partnership,リミテッド・パートナーシップ,The fund is organized as a limited partnership.,そのファンドはリミテッド・パートナーシップとして組成されている。,,verified,
462,CORP,limited liability company,有限責任会社(LLC),The business operates as a limited liability company.,その事業はLLCとして運営されている。,,verified,
463,CORP,sole proprietorship,個人事業,A sole proprietorship has a single owner.,個人事業の所有者は1人である。,,verified,
464,CORP,partnership agreement,パートナーシップ契約,The partnership agreement allocates profits.,パートナーシップ契約は利益の配分を定める。,,verified,
465,CORP,operating agreement,(LLCの)運営契約,The LLC members signed an operating agreement.,LLCの社員らは運営契約に署名した。,,verified,
466,CORP,capital contribution,出資,Each member made a capital contribution.,各社員は出資を行った。,,verified,
467,CORP,equity interest,持分,The investor acquired a 30 percent equity interest.,投資家は30パーセントの持分を取得した。,,verified,
468,CORP,membership interest,(LLCの)社員持分,Membership interests were transferred with consent.,社員持分は同意を得て譲渡された。,,verified,
469,CORP,general partner,無限責任パートナー,The general partner manages the fund.,無限責任パートナーがファンドを運営する。,,verified,
470,CORP,limited partner,有限責任パートナー,Limited partners do not manage the business.,有限責任パートナーは業務を執行しない。,,verified,
471,CORP,silent partner,匿名パートナー,The silent partner provided capital only.,匿名パートナーは資本のみを提供した。,,verified,
472,CORP,profit sharing,利益分配,Profit sharing follows the ownership ratio.,利益分配は持分比率に従う。,,verified,
473,CORP,distribution,分配,The distribution was paid to all members.,分配は全社員に支払われた。,,verified,
474,CORP,buy-sell agreement,持分売買契約(バイセル契約),The buy-sell agreement governs exits of owners.,バイセル契約は持分保有者の離脱を規律する。,,verified,
475,CORP,right of first refusal,先買権(優先買取権),The right of first refusal applies to share transfers.,先買権は株式の譲渡に適用される。,,verified,
476,CORP,preemptive rights,新株引受権,Preemptive rights protect against dilution.,新株引受権は希薄化から株主を保護する。,,verified,
477,CORP,drag-along rights,強制売却参加権(ドラッグ・アロング),Drag-along rights force minority holders to sell.,ドラッグ・アロングは少数株主に売却を強制する。,,verified,
478,CORP,tag-along rights,売却参加権(タグ・アロング),Tag-along rights let minority holders join the sale.,タグ・アロングは少数株主の売却参加を認める。,,verified,
479,CORP,shareholders' agreement,株主間契約,The shareholders' agreement restricts transfers.,株主間契約は株式譲渡を制限する。,,verified,
480,CORP,voting agreement,議決権行使契約,The voting agreement binds the founders.,議決権行使契約は創業者らを拘束する。,,verified,
481,CORP,board resolution,取締役会決議,A board resolution authorized the signing.,取締役会決議により調印が授権された。,,verified,
